match_id,ally_champs,enemy_champs,win
NA1_5203033202,"['Fiora', 'Kayn', 'Aurora', 'Jinx', 'Lulu']","['Riven', 'Rumble', 'Yone', 'KogMaw', 'Nami']",0.0
NA1_5202978470,"['Urgot', 'Shaco', 'Hwei', 'Jinx', 'Soraka']","['Aurora', 'Taliyah', 'Yone', 'MissFortune', 'Blitzcrank']",1.0
NA1_5202948330,"['Poppy', 'LeeSin', 'Aurora', 'Jhin', 'Renekton']","['Jayce', 'Evelynn', 'Kaisa', 'Corki', 'Leona']",0.0
NA1_5202916255,"['Garen', 'Taliyah', 'Irelia', 'Caitlyn', 'Lux']","['Kayle', 'Ambessa', 'Vladimir', 'Jhin', 'TahmKench']",0.0
NA1_5202883845,"['Urgot', 'Nunu', 'Viktor', 'Caitlyn', 'Bard']","['Poppy', 'Nidalee', 'Talon', 'Lux', 'Nautilus']",0.0
NA1_5202850594,"['Brand', 'JarvanIV', 'Viktor', 'Jinx', 'TahmKench']","['Maokai', 'XinZhao', 'Akali', 'Jhin', 'Velkoz']",1.0
NA1_5202825342,"['Ryze', 'Kindred', 'Galio', 'Jinx', 'Elise']","['Teemo', 'JarvanIV', 'Yone', 'Viktor', 'Gragas']",0.0
NA1_5202519016,"['Riven', 'Graves', 'Viktor', 'Ashe', 'Braum']","['Urgot', 'MonkeyKing', 'Neeko', 'Brand', 'Nami']",1.0
NA1_5202490806,"['Jayce', 'Evelynn', 'Sylas', 'Draven', 'Nami']","['Kennen', 'Udyr', 'Corki', 'Hwei', 'Senna']",0.0
NA1_5202456505,"['KSante', 'Lillia', 'Jayce', 'Nami', 'Hwei']","['Aatrox', 'Viego', 'Sylas', 'Swain', 'Alistar']",1.0
NA1_5202425974,"['Camille', 'Udyr', 'Yone', 'Vayne', 'Sona']","['Tryndamere', 'Khazix', 'Viktor', 'Hwei', 'Senna']",0.0
NA1_5202391823,"['Irelia', 'Pantheon', 'Ahri', 'Jinx', 'Lulu']","['Jayce', 'MonkeyKing', 'Qiyana', 'Brand', 'TahmKench']",1.0
